zipcode,rating,insertedAtTimestamp,longitude,address,id,latitude,name,review_count,cuisine
11235,3.5,2018-05-02 17:21:43.628097,-73.93667,"3073 Emmons Ave, Brooklyn, NY 11235",inI34xFWJoIGqw-NZwKitw,40.58416,Maria's Restaurant,93,italian
10022,3.5,2018-05-02 17:22:05.161649,-73.96633,"210 E 58th St, New York, NY 10022",aM4h2RwyHyngSDehB_qq3g,40.7605,Dawat Haute Indian Cuisine,157,indian
10026,4.0,2018-05-02 17:21:32.937208,-73.9548260014624,"2168 Frederick Douglass Blvd, New York, NY 10026",J9xVQScnr0lYWl61_mLXMA,40.8049797781916,Lido,798,italian
11238,4.0,2018-05-02 17:23:41.685215,-73.95753,"758 Franklin Ave, Brooklyn, NY 11238",IYwz7ck1OZCoZqW0F31pLg,40.672706,MISC,36,japanese
11373,3.5,2018-05-02 17:20:29.624626,-73.8657716,"56-15 Junction Blvd, Elmhurst, NY 11373",HAKZevk9Qde1qWb4INzFHQ,40.7369759,Ming's Chinese Kitchen,22,chinese
11385,4.0,2018-05-02 17:20:29.275465,-73.9197599887848,"201 Cypress Ave, Ridgewood, NY 11385",GDqIF-JMOO-8EM3yKn25_w,40.7082630466795,New Sze's Garden,14,chinese
10001,4.5,2018-05-02 17:22:08.209794,-73.99825,"338 9th Ave, New York, NY 10001",32nkcoqPk0c1BYuka2enqw,40.75043,Qasim Restaurant,3,indian
10028,3.5,2018-05-02 17:20:29.419623,-73.9481582641602,"1580 York Ave, New York, NY 10028",bacGm8cL-vUPHdR18_M7bw,40.7740287780762,Charley Mom Restaurant,75,chinese
10024,3.5,2018-05-02 17:21:15.976476,-73.97599,"502 Amsterdam Ave, New York, NY 10024",rJJiGJx3kfMAxtD7P7okHQ,40.78666,Celeste,800,italian
10016,4.0,2018-05-02 17:22:05.931257,-73.98263,"120 Lexington Ave, New York, NY 10016",WkN7pVHWEXpHJrIS1ohXUA,40.74284,Deccan Spice,88,indian
10019,4.0,2018-05-02 17:23:47.919019,-73.991001,"464 W 51st St, New York, NY 10019",DPDznXYX5DBLBASKfxQ-DQ,40.765055,Totto Ramen Hell's Kitchen,882,japanese
10038,4.0,2018-05-02 17:20:30.224073,-74.0065573416641,"111 Fulton St, New York, NY 10038",ehyZHDeH7d1KOJLrOHfnEw,40.7097319537713,Melt Shop,301,american
10458,3.5,2018-05-02 17:21:38.377613,-73.88795,"2389 Arthur Ave, Bronx, NY 10458",TSj3yJCHBMEQ0caKtMX9ng,40.8552899,Gerbasi Ristorante,90,italian
11204,4.5,2018-05-02 17:22:34.023871,-73.98356,"42 Avenue O, Brooklyn, NY 11204",80h4Y4OwRBzSZqH1-0i35g,40.61002,Cafe Lily,38,korean
10002,4.5,2018-05-02 17:23:12.656411,-73.98605,"102 Suffolk St, New York, NY 10002",PwrYnl3j3YCGzILX_5UHpw,40.71852,Davelle,27,japanese
